,ΙΣΧΥΣ (MW)_count,ΙΣΧΥΣ (MW)_sum,ΙΣΧΥΣ (MW)_mean,ΙΣΧΥΣ (MW)_min,ΙΣΧΥΣ (MW)_max,RSI_mean,RSI_min,RSI_max,RSI_ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ_mean,RSI_ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ_min,RSI_ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ_max,RSI_ΔΗΜΟΣ _mean,RSI_ΔΗΜΟΣ _min,RSI_ΔΗΜΟΣ _max,RSI_ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ_mean,RSI_ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ_min,RSI_ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ_max,RSI_ΘΕΣΗ_mean,RSI_ΘΕΣΗ_min,RSI_ΘΕΣΗ_max
1988-12-31,2.0,17.0,8.5,8.5,8.5,0.614962251201098,0.614962251201098,0.614962251201098,0.9737809334653376,0.9737809334653376,0.9737809334653376,0.9435728490224028,0.9435728490224028,0.9435728490224028,1.2884923358499198,1.2884923358499198,1.2884923358499198,9.01944635094944,9.01944635094944,9.01944635094944
1990-12-31,2.0,0.33,0.165,0.165,0.165,0.7182985386656006,0.7182985386656006,0.7182985386656006,2.1213338690237045,2.1213338690237045,2.1213338690237045,2.893716970052848,2.893716970052848,2.893716970052848,2.893716970052848,2.893716970052848,2.893716970052848,2.893716970052848,2.893716970052848,2.893716970052848
1991-12-31,6.0,2.27,0.3783333333333333,0.3,0.45,0.4789675437543875,0.113554180677421,0.7182985386656006,1.5861168233308696,0.5687939140238385,2.1434940518909986,4.459848211387501,2.0954502196934417,9.01944635094944,4.72593712817397,2.2646480635196204,9.01944635094944,4.397692198739324,1.2799132752156828,9.01944635094944
1992-12-31,14.0,47.510000000000005,3.393571428571429,0.7,10.8,0.7526774799505164,0.6050499119201409,1.1912476312574731,2.482483848733991,2.0161142824138696,4.04038546942984,2.4642883367615984,2.073110665112488,3.6169353387056127,3.2761510893102,0.8267762771579565,9.01944635094944,3.663931639624646,2.159490276158842,9.01944635094944
1993-12-31,4.0,13.2,3.3,0.6,6.0,1.574074877445167,1.1912476312574731,1.9569021236328608,1.619850334399172,1.219772744604591,2.0199279241937527,2.394162683875163,2.0669406928948915,2.7213846748554342,3.255485577978204,2.13009721406668,4.380873941889727,5.956581660501144,2.893716970052848,9.01944635094944
1996-12-31,5.0,23.168,4.6336,1.8,8.7,2.148633922986403,1.1912476312574731,3.5847133605797983,6.03200982203768,4.04038546942984,9.01944635094944,5.777939743603143,3.6169353387056127,9.01944635094944,5.686837360259647,3.465098033133118,9.01944635094944,9.01944635094944,9.01944635094944,9.01944635094944
1997-12-31,2.0,7.4,3.7,3.7,3.7,1.488012856741297,1.488012856741297,1.488012856741297,3.9532041453097535,3.9532041453097535,3.9532041453097535,5.087892813356094,5.087892813356094,5.087892813356094,7.70752688172043,7.70752688172043,7.70752688172043,9.01944635094944,9.01944635094944,9.01944635094944
1998-12-31,2.0,12.4,6.2,6.2,6.2,1.488012856741297,1.488012856741297,1.488012856741297,1.1534198681510532,1.1534198681510532,1.1534198681510532,4.008642822644195,4.008642822644195,4.008642822644195,9.01944635094944,9.01944635094944,9.01944635094944,9.01944635094944,9.01944635094944,9.01944635094944
1999-12-31,5.0,5.55,1.11,0.5,2.025,0.6729990879674167,0.6050499119201409,0.7182985386656006,2.0792460343797705,2.0161142824138696,2.1213338690237045,2.459659424544921,1.80857310628303,2.893716970052848,2.66221961244862,2.3149735760422785,2.893716970052848,2.893716970052848,2.893716970052848,2.893716970052848
2000-12-31,4.0,20.4,5.1,4.8,5.4,1.9569021236328608,1.9569021236328608,1.9569021236328608,2.0199279241937527,2.0199279241937527,2.0199279241937527,2.0669406928948915,2.0669406928948915,2.0669406928948915,2.13009721406668,2.13009721406668,2.13009721406668,2.893716970052848,2.893716970052848,2.893716970052848
2001-05-31,14.0,20.895,1.4925,0.83,2.155,2.306312002442674,0.9625758495247806,3.5847133605797983,5.607114559154995,4.546387591535489,6.667841526774502,5.5334889041409285,2.459849004804392,8.607128803477465,6.952597949078621,5.373287187799666,8.531908710357577,9.01944635094944,9.01944635094944,9.01944635094944
2001-06-30,294.0,1371.133,4.66371768707483,0.165,43.7,3.667444681243176,0.614962251201098,22.34889733840304,3.0159548859789957,0.0923779421419402,8.002241344806885,3.657565602009172,0.0524386415752874,9.993409378960708,4.661710459657183,0.1492579774388796,29.98022813688213,5.556858696698106,1.7362301820317088,11.992091254752852
2001-07-31,203.0,1169.907,5.763088669950738,0.28,27.4,4.748685552635052,0.904179014868094,22.34889733840304,4.521094097666527,0.7892015557080759,15.977952500607929,10.4578155300951,0.0931211275171771,128.58447488584474,11.896554742644124,1.607620538918249,128.58447488584474,12.412943522423843,1.607620538918249,128.58447488584474
2001-09-30,168.0,887.745,5.284196428571429,0.06,41.2,2.3910635076372797,0.3921498413456278,22.34889733840304,2.738589983741321,0.0924018408179225,8.782087029995775,4.185130276110474,0.1960749206728139,9.206526750696089,4.922820689163083,0.1471704532788952,9.993409378960708,6.513792196767533,0.5167351732237229,9.993409378960708
